program_id,focus_sectors,location,program_name,program_type,pogram_description,program_objectives,program_eligibility,funding,organizations,org_category,further_info,update_date
4286,Commercial/Institutional,Newfoundland and Labrador,takeCHARGE Custom Program,"Financial Incentive,Retrofit",,"This Program provides financial incentives to commercial businesses towards the cost of an energy audit, feasibility study and the implementation of energy saving upgrades in heating and cooling, refrigeration, lighting and controls, and more.
",,,Newfoundland Power and Newfoundland and Labrador Hydro,Utility company,,2018-11-21 00:00:00.0
4287,Commercial/Institutional,Newfoundland and Labrador,takeCHARGE Commercial Product Rebates,"Financial Incentive,Rebate",,"This Program offers commercial businesses rebates on the purchase of programmable thermostats, occupancy sensors, LED wall packs, and high performance showerheads.
",,,Newfoundland Power and Newfoundland and Labrador Hydro,Utility company,,2018-11-21 00:00:00.0
4308,Commercial/Institutional,Ontario,Ozone Laundry,"Financial Incentive,Retrofit",,"This Program offers a financial incentive for the installation of an ozone laundry system (piece of equipment that is added on to an existing commercial washing machine) in a facility. The advantages of such a system include reducing hot water consumption by up to 85%, reducing water use by up to 30% and reducing chemical use by 10%.<br><br>",,,Enbridge Gas Inc.,Utility company,,2022-05-04 00:00:00.0
4326,"Commercial/Institutional,Industrial",Ontario,Capacity Buy Back Program,"Financial Incentive,Retrofit",,"This Program encourages and rewards commercial, institutional, and industrial organizations that reduce water use. By implementing permanent process or equipment changes that save water, commercial, institutional, and industrial organizations could be eligible for a cash rebate of up to 30 cents per litre of water saved per average day. Replacing older, high-water-use equipment or fixtures with new water-efficient equipment can help organizations save money.  In addition to the cash rebate and long-term water savings, participation in the program has many other benefits, including saving energy.<br><br>",,,City of Toronto,Municipal government,,2022-05-04 00:00:00.0
4366,Commercial/Institutional,Quebec,Feasibility Study ,"Advice,Financial Incentive",,"This Program offers financial assistance of $2,000 to cover a portion of the cost of having a feasibility study carried out to define measures that will improve the energy efficiency of an existing or new building.",,,Gazifère,Utility company,,2024-06-07 00:00:00.0
4370,Industrial,Saskatchewan,Demand Response Program,"Energy Management and Monitoring,Financial Incentive",,"Through this program, SaskPower pays its largest industrial customers to reduce or shift their electricity use. This allows them to be more responsive to peak demands so that power is there when needed. In return for shifting or reducing their power consumption, customers enrolled in the program receive financial compensation.",,,SaskPower - Business Programs,Utility company,,2018-11-21 00:00:00.0
4386,Residential,British Columbia,Home Renovation Rebate,"Financial Incentive,Rebate,Retrofit",,"Provided in partnership by BC Hydro Power Smart and FortisBC, this Program offers homeowners a wide variety of incentives to help reduce ongoing energy costs. Rebates are provided for both natural gas and electric energy-efficient upgrades, including windows and doors, insulation, heat pumps, and heat pump water heaters.",,,BC Hydro  - Residential Customers,Utility company,,2022-05-15 00:00:00.0
4409,Residential,British Columbia,Natural Gas Water Heater Rebate,"Energy Star,Financial Incentive,Rebate,Retrofit",,"This Program offers homeowners a rebate of up to $1,000 when replacing their aging water heater with a qualifying natural gas ENERGY STAR model.",,,FortisBC - Homes,Utility company,,2018-11-21 00:00:00.0
4411,Residential,British Columbia,Heat Pump Water Heater Rebate,"Energy Star,Financial Incentive,Rebate,Retrofit",,"This Program offers homeowners a rebate when replacing their electric water heater with a qualifying heat pump model (including an ENERGY STAR certified product), which works by capturing warmth from the home's ambient air, using it to heat the domestic water.",,,FortisBC - Homes,Utility company,,2018-11-21 00:00:00.0
4413,Residential,Quebec,Low-Income Household Supplement,Financial Incentive,,"This Program offers supplementary financial assistance to low-income households who are owners of a single-family home, duplex or triplex and to owners of multi-tenant buildings with three or less units, one or more occupied by low-income households and who are participating in an Énergir energy efficiency program.",,,Énergir,Utility company,,2022-05-04 00:00:00.0
4414,Residential,Quebec,Hot Water Boiler Grants,"Financial Incentive,Rebate,Retrofit",,"This Program offers homeowners grants towards the purchase of their heating systems. Grants include:<ul>
<li>$1,100 for the purchase and installation of a natural gas boiler, no matter which type of appliance chosen</li>
<li>$1,275 toward converting an oil-fired system to a new natural gas one</li>
<li>An additional grant of $900 to encourage customers to adopt energy-wise lifestyles. This amount helps reduce the difference between the cost of a high-performance appliance and the cost of a standard boiler</li></ul>",,,Énergir,Utility company,,2018-11-21 00:00:00.0
4419,Commercial/Institutional,New Brunswick,Commercial Buildings Retrofit Program,"Advice,Financial Incentive,Rebate,Retrofit",,The Commercial Buildings Retrofit Program provides incentives for energy audits and eligible energy-saving upgrade projects.,,,NB Power,Utility company,,2022-05-04 00:00:00.0
4421,Commercial/Institutional,Newfoundland and Labrador,takeCHARGE Isolated Systems Business Efficiency Program,"Financial Incentive,Retrofit",,"This Program targets commercial customers in isolated systems, providing support and financial incentives for a wide range of energy saving projects.",,,Newfoundland Power and Newfoundland and Labrador Hydro,Utility company,,2018-11-21 00:00:00.0
4422,Commercial/Institutional,Saskatchewan,Commercial Boiler Program,"Financial Incentive,Retrofit",,This Program is designed to encourage the use of high-efficiency natural gas hydronic space-heating systems in commercial new construction and retrofits. It provides incentives to help offset the incremental price of a high-efficiency natural gas condensing boiler over the purchase price of a standard-efficiency boiler. Incentives are based based on the size of the total commercial boiler plant.,,,SaskEnergy,Utility company,,2018-11-21 00:00:00.0
4451,"Commercial/Institutional,Industrial",Ontario,SAVE ON ENERGY - RETROFIT PROGRAM,"Financial Incentive,Retrofit",,"This Program provides businesses with financial incentives for implementing energy-efficient measures in their facilities. Prescriptive, engineered and custom track applications are available to suit the intended retrofit project.<p>The saveONenergy programs are offered through local electric utilities and funded through the Independent Electricity System Operator.
",,,Independent Electricity System Operator Save on Energy,Utility company,,2022-05-04 00:00:00.0
4466,"Commercial/Institutional,Industrial",Quebec,Technology and Business Demonstration,"Financial Incentive,Research and Development",,"Hydro-Québec offers support to test the technical and commercial viability of innovative energy-saving or power-demand optimization measures. It will pay 75 percent of the total cost of an approved project, up to $500,000.",,,Hydro-Québec,Utility company,,2022-05-04 00:00:00.0
4487,Transportation,British Columbia,Plug In BC Program,"Awareness/Information,Research and Development",,"Plug In BC is an initiative co-chaired by the BC Ministry of Energy and Mines and BC Hydro to lay the groundwork for plug-in electric vehicles and related electric charging infrastructure in British Columbia. <br><br>

Plug In BC focuses efforts along 5 main themes: vehicle deployment, charging infrastructure, policy development, research, and outreach.",,,Government of British Columbia,Provincial government,,2018-11-21 00:00:00.0
4528,Residential,British Columbia,Heat Pump Loan,"Energy Star,Financial Incentive,Retrofit",,This Program provides homeowners financial assistance for the cost of upgrade to an energy-efficient ENERGY STAR certified air source heat pump. The payback period is spread over 10 years.,,,FortisBC - Homes,Utility company,,2022-05-15 00:00:00.0
4566,Residential,Nova Scotia,HomeWarming Program,"Financial Incentive,Rebate,Retrofit",,"This Program offers home energy assessments and upgrades for income-qualified homeowners, at no cost. For qualifying homeowners, if we discover that upgrades like draft-proofing and insulation will help reduce your heating and power bills, we¿ll install the upgrades at absolutely no cost to you.",,,Efficiency Nova Scotia,Provincial government,,2022-05-15 00:00:00.0
4647,Residential,Prince Edward Island,Equipment Upgrade Rebate,"Energy Star,Financial Incentive,Rebate,Retrofit",,"Efficiency PEI offers rebates for the installation of ENERGY STAR<sup>®</sup> certified heating equipment, water saving devices, biomass heating devices and other energy saving products.",,,Efficiency PEI,Provincial government,,2018-11-21 00:00:00.0
4648,Residential,Prince Edward Island,Building Envelope Upgrade Rebate,"Energy Star,Financial Incentive,Rebate,Retrofit",,"Efficiency PEI offers rebates for the installation of insulation, ENERGY STAR<sup>®</sup> windows &amp; doors and air sealing improvements. Insulation rebates are based on how much and where insulation is installed.",,,Efficiency PEI,Provincial government,,2018-11-21 00:00:00.0
4696,Commercial/Institutional,Manitoba,Small Business Program,"Advice,Financial Incentive,Rebate,Retrofit",,"This program helps small, independent businesses reduce their water and energy consumption by providing free basic energy saving devices and incentives on additional lighting products, smart thermostats, and insulation.",,,Efficiency Manitoba,Provincial government,,2022-02-15 00:00:00.0
4708,Commercial/Institutional,Ontario,SAVE ON ENERGY - SMALL BUSINESS PROGRAM,"Energy Star,Financial Incentive,Retrofit",,"This Program provides financial incentives up to $2,000 worth in energy-efficient lighting upgrades, including a wide range of ENERGY STAR<sup>®</sup> certified LED lighting products, and up to $2,500 for non-lighting upgradesto qualifying businesses. An authorized electrical contractor is available to complete the retrofit. The program provides licensed electrical contractors, a no-risk assessment and clean-up, which includes recycling and proper disposal.<br><br>
The saveONenergy programs are offered through local electric utilities and funded through the Independent Electricity System Operator.",,,Independent Electricity System Operator Save on Energy,Utility company,,2022-05-15 00:00:00.0
4715,"Commercial/Institutional,Industrial",Ontario,SAVE ON ENERGY - TRAINING &amp; SUPPORT INITIATIVES,"Awareness/Information,Financial Incentive,Training/Technical Assistance",,"Property owners, managers and building operators can access the latest tools and best practices to improve building efficiency and receive up to $1600 off training costs with the BUILDING OPERATOR CERTIFICATION INCENTIVE.<br><br>

Organizations can receive training and certification in order to optimize their energy use, extend the life of their building systems, and reduce operating and maintenance costs with the COMMISSIONING AGENT CERTIFICATION INCENTIVE. Qualifying professionals may receive incentives up to $1600 plus industry-recognized accreditation.<br><br>

The CERTIFIED MEASUREMENT AND VERIFICATION PROFESSIONAL (CMVP) CERTIFICATION INCENTIVE provides business participants with industry-recognized training and certification needed to become an accredited evaluator. Qualifying professionals may receive incentives of up to $1300. <br><br>

Large commercial and institutional buildings can benefit from having a fully-trained energy manager that can directly influence energy performance. Facilities can manage their energy use through the ENERGY MANAGER TRAINING INCENTIVE by tracking consumption, monitoring energy expenditures, and identifying savings opportunities. Qualifying professionals may receive training incentives up to $1600.<br><br>
The saveONenergy programs are offered through local electric utilities and funded through the Independent Electricity System Operator.",,,Independent Electricity System Operator Save on Energy,Utility company,,2022-05-04 00:00:00.0
4717,Residential,Ontario,Smart Thermostats,"Financial Incentive,Retrofit",,"Enbridge Gas customers who reside in a detached, semi-detached, row house, townhome, or a mobile home on a permanent foundation can get a $75 instant or post-purchase rebate towards a qualifying smart thermostat.",,,Enbridge Gas Inc.,Utility company,,2022-05-04 00:00:00.0
4726,Industrial,Canada,Energy Efficiency for Industry,"Advice,Energy Management and Monitoring,Standards (Voluntary or Regulated)",,"Natural Resources Canada's Energy Efficiency for Industry program aids the adoption of an energy management standard, and accelerates energy-saving investments and the exchange of best-practices information within Canada's industrial sector.",,,"Natural Resources Canada (NRCan), Office of Energy Efficiency (OEE)",Federal government,,2018-11-21 00:00:00.0
4746,Industrial,Ontario,Greenhouse Program,"Advice,Energy Management and Monitoring,Financial Incentive",,"This Program provides a flexible incentive structure that can be customized to meet a plant's particular needs. Financial incentives are provided for:</p><ul>
<li>Audits, assessments and engineering analysis to identify and quantify thermal energy efficiency opportunities</li>
<li>The purchase and installation of thermal energy-efficient equipment and technologies</li>
<li>The implementation of operational improvements that reduce thermal energy requirements</li></ul>
",,,Enbridge Gas Inc.,Utility company,,2022-05-04 00:00:00.0
4747,Industrial,Ontario,Industrial Custom Engineering Program,"Energy Management and Monitoring,Financial Incentive,Retrofit",,"This Program provides financial incentives to assist customers with costs related to energy assessment, measurement and efficiency implementation initiatives. Customers are eligible for incentives based on consumption savings up to a maximum of the greater of 50% of the cost of implementation or $100,000 per project.",,,Enbridge Gas Inc.,Utility company,,2022-05-15 00:00:00.0
4771,Residential,British Columbia,Non-profit and Aboriginal Housing Upgrades,"Awareness/Information,Energy Star,Financial Incentive,Retrofit",,"The program is offered in partnership with FortisBC and Pacific Northern Gas. An approved program partner, It's On Electric, will work with a housing provider or community's application. 

Eligible upgrades can include energy efficient LED light bulbs, water efficient showerheads, faucet aerators, weatherstripping, ENERGY STAR<sup>®</sup> fridge replacement and high efficiency gas furnace replacement, and insulation.

An energy coach will work with you to review energy use inside the home, and provide personalized energy saving advice.",,,BC Hydro  - Residential Customers,Utility company,,2022-01-31 00:00:00.0
4787,Industrial,British Columbia,Strategic Energy Management - Industrial Cohort,"Advice,Energy Management and Monitoring",,"BC Hydro offers a two year program delivered by an energy expert through a cohort - a group of diverse industrial customers - that will provide opportunities for peer-to-peer knowledge sharing about building strategic energy management into a business. With the support of the industry colleagues in the cohort, a business can find energy savings using no-cost and low-cost practices, and help develop the skills and interests of its own staff to manage energy more efficiently in the long term.",,,BC Hydro - Business Customers - Industrial,Utility company,,2018-11-21 00:00:00.0
4788,Industrial,British Columbia,Strategic Energy Management - Regional Energy Manager,"Advice,Financial Incentive",,This Program provides 100 percent funding for a site visit from an energy consultant to analyze a business' energy consumption data and help identify and implement operational savings opportunities.,,,BC Hydro - Business Customers - Industrial,Utility company,,2018-11-21 00:00:00.0
4826,Residential,British Columbia,EnerChoice<sup>®</sup> Fireplace Program,"Financial Incentive,Retrofit",,"This Program offers a rebate of $300 towards the purchase of a high-efficiency EnerChoice natural gas fireplace. Eligible fireplaces must be direct-vented, temperature modulating and not have a standing pilot.",,,FortisBC - Homes,Utility company,,2022-05-04 00:00:00.0
4827,Residential,British Columbia,Heat Pump Service Rebate ,"Financial Incentive,Rebate",,This Program offers a $50 rebate to customers who have their heat pump serviced.,,,FortisBC - Homes,Utility company,,2018-11-21 00:00:00.0
4830,Residential,Quebec,Smart Thermostat Grant,Financial Incentive,,This Program offers an incentive of up to $100 upon the installation of a smart thermostat.,,,Énergir,Utility company,,2022-05-04 00:00:00.0
4846,"Commercial/Institutional,Industrial,Residential",Canada,Energy Efficiency for Products,"Awareness/Information,Energy Star,Standards (Voluntary or Regulated)",,"Natural Resources Canada (NRCan) administers effective standards and labelling programs in order to ensure Canadians have access to reliable, affordable and efficient energy-using products. Many Canadians are already familiar with the two brands that NRCan uses to make it easier for consumers to buy energy-efficient products:<ul>
<li>The ENERGY STAR symbol indicates that a product meets or exceeds high efficiency standards. </li>
<li>The EnerGuide label compares a product's energy performance to others in its class. </li></ul>
",,,"Natural Resources Canada (NRCan), Office of Energy Efficiency (OEE)",Federal government,,2018-11-21 00:00:00.0
4866,Residential,Prince Edward Island,Home Energy Audit Program,"Financial Incentive,Rebate,Retrofit",,"Efficiency PEI will subsidize the cost of an EnerGuide home evaluation. In the event that homeowners choose to proceed with efficiency upgrades after the audit, efficiency PEI will further subsidize those costs by enhancing the corresponding rebates. ",,,Efficiency PEI,Provincial government,,2018-11-21 00:00:00.0
4868,Residential,Nunavut,Home Renovation Program,"Financial Incentive,Retrofit",,"This Program provides financial, program and technical assistance to homeowners who wish to carry out major repairs, renovations and additions to their home. Where an applicant has already received assistance to renovate their home, they may apply for an additional $15,000 to improve the energy efficiency of their dwelling.",,,Nunavut Housing Corporation,Provincial government,,2018-11-21 00:00:00.0
4886,"Commercial/Institutional,Industrial",Quebec,ÉcoPerformance,"Energy Management and Monitoring,Financial Incentive,Retrofit",,"This Program seeks to reduce energy use and greenhouse gas emissions of businesses by funding projects or measures linked to the improvement of processes related to the consumption and production of energy. It is available to businesses, institutions and municipalities that consume fossil fuels or use processes that generate fugitive GHG emissions to enable them to make the transition to reducing emissions. It is aimed at both small and large consumers of energy.",,,"Gouvernement du Québec, Transition énergétique Québec",Provincial government,,2018-11-21 00:00:00.0
4946,Commercial/Institutional,"Toronto, ON",Energy Retrofit Loans,"Financial Incentive,Retrofit",,"This Program offers eligible Toronto community-based or not-for-profit organizations a low-interest loan to support up to 100% of their energy retrofit project costs. 
Typical retrofit measures include:<ul>
<li>Lighting retrofits</li>
<li>Equipment replacement including chillers and HVAC</li>
<li>Building envelope improvements</li>
<li>Building automation systems and controls</li>
<li>Renewable energy projects</li>
<li>Energy storage</li>
<li>Others measures/technologies on case-by-case basis</li></ul>
All buildings located in Toronto are eligible, including:<ul>
<li>Commercial, Retail and Industrial</li>
<li>Multi-Family Residential</li>
<li>Condominium buildings (common areas only, not individual units)</li>
<li>Hospitals and Long-Term Care</li>
<li>Schools, Colleges and Universities</li>
<li>Not-for-profit</li>
<li>Social Housing</li>
<li>Hospitality</li><ul>",,,City of Toronto,Municipal government,,2018-11-21 00:00:00.0
4947,Residential,Ontario,Livegreen Toronto - Live Green Parks,"Awareness/Information,Energy Management and Monitoring,Financial Incentive",,The Live Green Perks app connects green shoppers with local businesses to promote the greening of Toronto. Residents can download the Live Green Perks app for IOS or Android devices and start saving on green products and services when they shop at businesses across Toronto.,,,City of Toronto,Municipal government,,2022-05-15 00:00:00.0
4948,Commercial/Institutional,"Toronto, ON",Live Green @ Work,"Awareness/Information,Energy Management and Monitoring",,"Toronto business owners or managers are encouraged to start a Green Team in order to save money and reduce waste, water and energy use to create a greener workplace. Consult the website for details.",,,City of Toronto,Municipal government,,2018-11-21 00:00:00.0
4949,"Commercial/Institutional,Residential","Toronto, ON",MyWaterToronto,Awareness/Information,,"MyWaterToronto is a convenient way for residents or businesses to view their water use information from their computer or mobile device. Users can log-on to MyWaterToronto and view their total and average water use by day, week, month or year in an easy-to-read graph or chart format. The application also will help identify water leaks and encourage water conservation by outlining water use habits.",,,City of Toronto,Municipal government,,2018-11-21 00:00:00.0
4950,"Commercial/Institutional,Industrial",Ontario,Education and Capacity Building Program,"Awareness/Information,Energy Management and Monitoring,Financial Incentive",,"This Program funds projects that help build the understanding and skills needed for managing and generating energy. This includes activities such as awareness campaigns, material and course development, and education workshops. These projects help equip communities and organizations with knowledge and training, creating opportunities for them participate in Ontario's energy sector, and have helped support a variety of energy-awareness initiatives across Ontario.",,,Independent Electricity System Operator Save on Energy,Utility company,,2018-11-21 00:00:00.0
4967,Commercial/Institutional,Manitoba,ENERGY STAR<sup>®</sup> Portfolio Manager,"Energy Management and Monitoring,Energy Star",,"The ENERGY STAR<sup>®</sup> Portfolio Manager is a free, online energy benchmarking system that provides accurate and equitable building energy data and offers a number of advantages to the buildings sector. It uses actual building energy data derived from Natural Resources Canada's Survey of Commercial and Institutional Energy Use rather than a static model, the data is updated regularly.",,,Manitoba Hydro,Utility company,,2018-11-21 00:00:00.0
4969,"Commercial/Institutional,Industrial",Saskatchewan,Online Energy Efficiency Assessment for Small and Medium Businesses,"Awareness/Information,Energy Management and Monitoring",,"This free online Energy Efficiency Assessment looks at a business' lighting, heating, insulation, appliances, refrigeration, HVAC system, square footage and more, combined with where it operates, to provide a breakdown of its energy consumption.",,,SaskPower - Business Programs,Utility company,,2018-11-21 00:00:00.0
4972,"Commercial/Institutional,Industrial",Quebec,Implementation of Energy Efficiency Measures Grant,"Financial Incentive,Retrofit",,This Program offers a grant to encourage companies to implement energy efficiency measures to optimize the use of natural gas and reduce energy consumption.,,,Énergir,Utility company,,2018-11-21 00:00:00.0
4973,"Commercial/Institutional,Industrial",Quebec,Energy-Efficient Renovations Grant,"Financial Incentive,Retrofit",,"This program is aimed at encouraging renovations that will improve the thermal envelope of buildings to make them more energy efficient. It offers financial assistance for energy efficient work on the building envelope, such as: replacing the windows, insulating the walls, insulating the roof, sealing the building, installing thermal screens for greenhouses, etc.",,,Énergir,Utility company,,2018-11-21 00:00:00.0
4974,"Commercial/Institutional,Industrial",Quebec,Feasibility Studies Grant,Financial Incentive,,This program helps defray part of the cost of a feasibility study covering energy efficiency measures. The study will be carried out by an engineering consulting firm accredited by Énergir.,,,Énergir,Utility company,,2024-06-07 00:00:00.0
4986,"Commercial/Institutional,Industrial",Quebec,Grant for an Infrared Heating System,"Financial Incentive,Retrofit",,This Program is offering a grant of up to $500 per infrared unit to encourage the installation of high-efficiency appliances. The total value of the grant is based on the selected unit's capacity.,,,Énergir,Utility company,,2022-05-04 00:00:00.0
4987,"Commercial/Institutional,Industrial",Quebec,Grant for new energy efficiency solutions,"Financial Incentive,Research and Development",,This Program offers a grant to encourage the development of new technologies or innovative use of existing technologies with promising energy efficiency potential. ,,,Énergir,Utility company,,2022-05-04 00:00:00.0
4988,Commercial/Institutional,Quebec,Supplement for Low-Income Household,Financial Incentive,,"This program offers supplementary financial assistance to owners of multi-tenant buildings with four or more units, one or more occupied by low-income households. The supplement is determined according to the energy efficiency program in which the owner is participating. The social and community sector as housing co-operatives and non-profit organizations that help low income clients are also eligible.",,,Énergir,Utility company,,2023-08-22 00:00:00.0
4989,"Commercial/Institutional,Industrial",Quebec,New Efficient Construction Grant ,Financial Incentive,,This Program is aimed at encouraging the construction of energy efficient buildings that will reduce their operating expenses and increase their resale value.,,,Énergir,Utility company,,2022-05-04 00:00:00.0
4990,"Commercial/Institutional,Industrial",Quebec,Recommissionning Grants,Financial Incentive,,This Program aims to encourage the process of recommissioning existing mechanical systems in buildings in order to reduce annual energy consumption.,,,Énergir,Utility company,,2023-08-22 00:00:00.0
4991,"Commercial/Institutional,Industrial",Quebec,Grant for a Solar Air Preheating System,"Financial Incentive,Retrofit",,"This Program is offering a grant to encourage the purchase and installation of a solar air preheating system for space heating. By preheating the air supply to a ventilation system, significant savings can be achieved on the consumption of natural gas needed to heat the fresh air.",,,Énergir,Utility company,,2018-11-21 00:00:00.0
4992,"Commercial/Institutional,Industrial",Quebec,Grant for a Unit Heater,"Financial Incentive,Retrofit",,"This Program is offering a grant to encourage the purchase and installation of a new natural gas unit heater, the ideal solution for areas with high ceilings or frequent air exchange and perfect for warehouses, loading docks and other large areas that need to be heated quickly.",,,Énergir,Utility company,,2018-11-21 00:00:00.0
4993,Residential,Quebec,Novoclimat Homes ,"Financial Incentive,New Construction",,"This program promotes the construction of new, high energy performance homes, according to specific construction requirements. To be eligible, the home must be built by a builder who has received training and obtained Novoclimat certification. Each home registered in the program is inspected by an independent evaluation consultant and receives government certification that confirms its superior energy performance. The first owner also benefits from financial assistance.",,,"Gouvernement du Québec, Transition énergétique Québec",Provincial government,,2018-11-21 00:00:00.0
5029,Residential,Ontario,SAVE ON ENERGY - Energy Affordability Program,"Advice,Energy Star,Financial Incentive,Retrofit",,"This Program offers qualified Ontario homeowners with ways to improve the energy efficiency of their homes. It includes a detailed in-home energy assessment, professional installation of energy-saving measures (including ENERGY STAR<sup>®</sup> certified LED light bulbs) and advice on steps that can be taken to save even more energy. All conservation devices and products provided under the Program are directly installed in the home and are free of charge to participants.",,,Independent Electricity System Operator Save on Energy,Utility company,,2022-05-15 00:00:00.0
5052,Commercial/Institutional,Ontario,An Affordable Housing Program ,"Financial Incentive,Rebate,Retrofit",,"This Program provides affordable housing providers with up to $120,000 in available incentives. It helps offset the costs of retrofits and provides ongoing energy efficiency savings that reduce the payback time. Enbridge will guide participants through their energy management project(s) from start to finish and help with project costs.",,,Enbridge Gas Inc.,Utility company,,2022-05-04 00:00:00.0
5053,"Commercial/Institutional,Industrial",Ontario,SAVE ON ENERGY - ENERGY PERFORMANCE PROGRAM INCENTIVES FOR MULTI-SITE BUSINESSES,Financial Incentive,,This Program encourages whole building energy performance improvements through incentives at a four cent per kilowatt-hour ($0.04/kWh) of savings per year for up to 3 years. This pay-for-performance model encourages participants who are able to make behavioural and operational changes alongside capital investment projects to achieve and grow energy savings over multiple years. It provides multi-site customers with a single program point of contact.,,,Independent Electricity System Operator Save on Energy,Utility company,,2022-05-04 00:00:00.0
5055,Commercial/Institutional,Ontario,Savings by Design for Commercial Builders,"Advice,Financial Incentive,New Construction",,"This Program supports commercial builders with expertise and performance incentives by designing sustainability into new commercial construction projects. It provides up to $60,000 in incentives including an integrated design process. This support allows builders to reduce the carbon footprint of the new facility.",,,Enbridge Gas Inc.,Utility company,,2022-05-04 00:00:00.0
5056,Residential,Ontario,Savings by Design for Residential Builders,"Advice,Financial Incentive,New Construction",,"Residential home builders can receive free access to green building experts and incentives to develop and build sustainable homes. This Program offers residential builders expert guidance worth up to $25,000 and energy-saving rewards of up to $100,000 to design and build homes that achieve 25 percent better energy performance than the 2012 Ontario Building Code.",,,Enbridge Gas Inc.,Utility company,,2022-05-04 00:00:00.0
5057,Residential,Newfoundland and Labrador,Home Energy Savings Program (HESP),"Financial Incentive,Retrofit",,"HESP is a provincial initiative designed to assist households with low income who consume 15,000 kWh of electricity annually in making energy-efficient retrofits to their homes. The program assists clients with retrofits that will make their homes more affordable and reduce greenhouse gas emissions that contribute to climate change. All repairs will be identified through an energy evaluation, which will determine the best possible solutions for energy efficiency.",,,Newfoundland and Labrador Housing,Provincial government,,2018-11-21 00:00:00.0
5058,Commercial/Institutional,Alberta,Building Energy Benchmarking Program,"Advice,Energy Management and Monitoring,Financial Incentive",,"This pilot program improves building energy efficiency, and contributes to significant energy savings and greenhouse gas reduction by providing owners with information about their building. Participants will benefit from technical support, customized building benchmarking reports, and access to financial incentives ($10,000/building) to help offset the cost of an energy audit.",,,City of Edmonton,Municipal government,,2018-11-21 00:00:00.0
5059,Commercial/Institutional,British Columbia,BC Energy Step Code,"Advice,Energy Management and Monitoring,Standards (Voluntary or Regulated)",,"The BC Energy Step Code is a voluntary provincial standard enacted in April 2017 that provides an incremental and consistent approach to achieving more energy-efficient buildings that go beyond the requirements of the base BC Building Code. It does so by establishing a series of measurable, performance-based energy-efficiency requirements for construction that builders can choose to build to, and communities may voluntarily choose to adopt in bylaws and policies.<br><br>
To comply with the BC Energy Step Code, builders must use energy modelling software and on-site testing to demonstrate that both their design and the constructed building meet the requirements of the BC Energy Step Code. The new standard empowers builders to pursue innovative, creative, cost-effective solutions, and allows them to incorporate leading-edge technologies as they come available.",,,Government of British Columbia,Provincial government,,2018-11-21 00:00:00.0
5066,Industrial,Canada,ENERGY STAR for Industry,"Energy Management and Monitoring,Energy Star",,"Industrial facilities located in Canada can earn ENERGY STAR certification and display the ENERGY STAR symbol, similar to those seen on appliances and electronics in the marketplace.<br>.<br>
Use ENERGY STAR Energy Performance Indicators (EPIs) to help benchmark your facility's energy performance against similar facilities in your industry in Canada and the United States, generating a score on a scale of 1 to 100.",,,"Natural Resources Canada (NRCan), Office of Energy Efficiency (OEE)",Federal government,,2018-11-21 00:00:00.0
5067,Commercial/Institutional,Canada,Smart Buildings Initiative,Energy Management and Monitoring,,"The Smart Buildings system allows the Government of Canada to:<ul>
<li>lower energy costs</li>
<li>reduce greenhouse gas emissions</li>
<li>identify and diagnose problems early so they can be solved right away at a lower cost</li>
<li>establish baseline data so building managers know if energy efficiency is improving</li></ul>
In addition, information collected from the system is available for building occupants and operators to use. This information can be displayed in public areas and can cultivate an energy-conscious culture among people in the building.
",,,Public Services and Procurement Canada,Federal government,,2018-11-21 00:00:00.0
5147,Transportation,Quebec,Home Charging Station Rebate ,Rebate,,"Financial assistance is available under the program upon the purchase or lease an all-electric vehicle, a plug-in hybrid vehicle, a low-speed electric vehicle or an electric motorcycle, up to a maximum of $600. More specifically, assistance is granted as two amounts: <ul>
<li>$350 for the purchase of an eligible charging station;</li>
<li>$250 for the installation of the charging station and its power supply infrastructure.</li></ul>",,,"Gouvernement du Québec, Transition énergétique Québec",Provincial government,,2018-11-21 00:00:00.0
5149,Residential,Newfoundland and Labrador,takeCHARGE Energy Efficiency Loan Program (EELP),"Financial Incentive,Retrofit",,"takeCHARGE is partnering with the Government of Newfoundland and Labrador to subsidize the financing required to purchase and install a qualified heat pump, insulation and/or home energy assessments through monthly payments on a customer's electricity bill. This subsidy will be in the form of a reduced interest rate. Each year there will be a cap or maximum amount of subsidy provided. The Program aims to improve the affordability of energy efficiency upgrades so that homeowners can reduce their electricity bills and improve comfort levels in their homes.",,,Newfoundland Power and Newfoundland and Labrador Hydro,Utility company,,2022-05-04 00:00:00.0
5166,Transportation,British Columbia,Specialty-Use Vehicle Incentive (SUVI) Program,Financial Incentive,,The SUVI Program provides the purchaser or lessee of an eligible vehicle an incentive depending on the vehicle type purchased. The vehicle incentive will be limited to a maximum of 35% of the vehicle MSRP regardless of the total available incentive amount indicated in a vehicle category. The amounts are subject to change and may be adjusted during the program period.,,,Government of British Columbia,Provincial government,,2018-11-21 00:00:00.0
5228,Residential,Alberta,Home Energy Toolkit,"Advice,Energy Management and Monitoring",,"The Home Energy Toolkit provides tools, tests and information to help residents understand their household energy use and help identify some ways to save energy and money.",,,City of Edmonton,Municipal government,,2022-05-15 00:00:00.0
